feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
three_modality_scores_raw_sts,svr_rbf,1,0.15659421792358352,1.795723944509912,2.0171449505978605,186,54,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,ridge,2,-0.041603222283498775,1.8408111359000792,2.2410348553793398,199,41,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,hist_gbr,2,-0.09239882398773513,1.6819816072827125,2.2950284092663407,199,41,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,gbr,2,-0.21585468336658775,1.9383309888360267,2.421242507985923,199,41,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,extra_trees,2,0.1059619276488385,1.6361437167256034,2.0762299936025292,199,41,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,svr_rbf,2,0.043246925279118,1.7144431973699996,2.147817552402423,199,41,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,ridge,3,-0.07055492531407537,1.742274556191663,2.155737934430441,193,47,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,hist_gbr,3,-0.2100900998485431,1.7153273162526412,2.2919246790261987,193,47,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,gbr,3,-0.1141213676889199,1.6582855343302982,2.199164614590222,193,47,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,extra_trees,3,-0.047221791117456835,1.6447488874938974,2.132115966600744,193,47,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,svr_rbf,3,-0.18858947496446143,1.732137983118611,2.2714722066492206,193,47,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,ridge,4,-0.07871575677852571,2.02978767617121,2.5464028468940354,205,35,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,hist_gbr,4,-0.49875089803206096,2.2945228080896327,3.0014998643730912,205,35,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,gbr,4,-0.3610979890537378,2.212498255832754,2.860344192751147,205,35,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,extra_trees,4,-0.09952510274106285,2.0299843356046314,2.5708466646512833,205,35,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_raw_sts,svr_rbf,4,-0.3116494308850053,2.293882095431699,2.8079054996426787,205,35,3,Three STS cosine scores from the full comments in each modality.
three_modality_scores_tagged_sts,ridge,0,0.10764359397437262,1.7922444804539057,2.153567741474256,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,hist_gbr,0,-0.1287273374029918,1.9765399174124612,2.422054360587264,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,gbr,0,0.012342871772178077,1.8196720516059703,2.265648149174516,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,extra_trees,0,0.1025972201071148,1.7558731844941111,2.159648488285753,186,54,3,Three STS cosine scores with each comment labeled by modality.
three_modality_scores_tagged_sts,svr_rbf,0,-0.07671201315112652,1.9479937492251747,2.36558819198071,186,54,3,Three STS cosine scores with each comment labeled by modality.
