feature_set,model,split,r2,mae,rmse,n_train,n_test,n_scores,description
whole_text_one_score,svr_rbf,7,0.01849412297257169,2.0408028388948476,2.5261231347070727,2234,524,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,8,-0.00010781891993816295,2.1117975370803816,2.5737627523436686,2162,596,1,Mean-only baseline.
whole_text_one_score,hist_gbr,8,0.018577911883927878,2.0884562340426602,2.549605657633131,2162,596,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,8,0.041478984394613616,2.073558548367316,2.519683080615249,2162,596,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,8,0.05425618222381401,2.062051957028726,2.502832902661246,2162,596,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,8,0.035002814945842564,2.034551285482611,2.528180768412618,2162,596,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,9,-0.0014906905780756041,2.062745176538684,2.5056678190681505,2190,568,1,Mean-only baseline.
whole_text_one_score,hist_gbr,9,-0.03106677357467169,2.0682399756742877,2.542397383184577,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,9,0.03194425320966665,2.0319342215514395,2.4634866929240014,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,9,0.03087599688073095,2.0239927704030745,2.464845555599516,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,9,0.02666552193101379,1.9832057704004376,2.470194160398202,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,10,-0.007749200919757282,1.9174086498457021,2.3227345582262857,2204,554,1,Mean-only baseline.
whole_text_one_score,hist_gbr,10,-0.002169010118254322,1.882861995499902,2.316294813869608,2204,554,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,10,0.05276638945424916,1.8488630636828998,2.2519145144762014,2204,554,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,10,0.04732500839027454,1.8530816193701498,2.2583733107217356,2204,554,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,10,0.04182093024940059,1.8009921030632163,2.264887788904047,2204,554,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,11,-0.0010638659108461734,1.9619389542441175,2.41512795782493,2198,560,1,Mean-only baseline.
whole_text_one_score,hist_gbr,11,-0.010363060711689576,1.9415461626002806,2.4263194663736747,2198,560,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,11,0.039096776667318256,1.9004195728311555,2.3661870750492584,2198,560,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,11,0.036906275244697584,1.9135980323067254,2.3688825523280665,2198,560,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,11,0.01336594951177772,1.8927667579577583,2.3976583683064354,2198,560,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,12,-0.00038622112329256275,2.1107625637439527,2.5771268052853475,2203,555,1,Mean-only baseline.
whole_text_one_score,hist_gbr,12,0.02321833169500076,2.0637771371926505,2.5465410872514016,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,12,0.06611024518697539,2.035936362862914,2.490002269959026,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,12,0.059555500663815764,2.0418973754954757,2.49872534988717,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,12,0.05708165688049249,1.987117073880351,2.5020096459980503,2203,555,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,13,-0.0003758985185460251,2.1160613680035976,2.563057474159805,2232,526,1,Mean-only baseline.
whole_text_one_score,hist_gbr,13,0.03973736524386051,2.0515263858883874,2.511144764689599,2232,526,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,13,0.0671476997551449,2.0345731590191343,2.475045449486935,2232,526,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,13,0.0696244787911573,2.028514907484465,2.4717575682946538,2232,526,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,13,0.057073510185691845,1.988968449884229,2.488373990461411,2232,526,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,14,-0.00423496824904368,2.0852184665978033,2.5051597374396777,2225,533,1,Mean-only baseline.
whole_text_one_score,hist_gbr,14,-0.03023591522251179,2.0853895069853103,2.537383410979978,2225,533,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,14,0.029323493006598755,2.029396478732247,2.4629466949984136,2225,533,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,14,0.03087970553242758,2.041575688758122,2.4609715745851672,2225,533,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,14,0.05249839629853015,1.974112243267157,2.4333676501965655,2225,533,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,15,-0.008780824971068357,2.1216493646740777,2.5947231115475144,2197,561,1,Mean-only baseline.
whole_text_one_score,hist_gbr,15,0.014925534358268377,2.075260545478298,2.564053849013518,2197,561,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,15,0.038657987729408205,2.050504606637787,2.532978899328111,2197,561,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,15,0.04202535735754309,2.0578087123563114,2.5285387737352636,2197,561,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,15,-0.008384083463243819,2.071322421278864,2.5942128244910196,2197,561,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,16,-7.915417352677423e-07,2.0831090423821466,2.5405662546164542,2190,568,1,Mean-only baseline.
whole_text_one_score,hist_gbr,16,0.05696257167483232,2.035909827279181,2.467145815194037,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,16,0.07246395916045312,2.0207730860636044,2.446784666715365,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,16,0.08161571866839834,2.0061990190280263,2.4346838463638885,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,16,0.0698586868804234,1.9702223628803948,2.450218533457252,2190,568,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,17,-0.006216751623350003,1.98372181657192,2.442098803833174,2235,523,1,Mean-only baseline.
whole_text_one_score,hist_gbr,17,0.03539233848094858,1.9599552530773368,2.39107287541888,2235,523,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,17,0.06420727370473167,1.923535855583518,2.3550888259056664,2235,523,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,17,0.05423190487356622,1.93700615285604,2.3676079463852218,2235,523,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,17,0.0072495855592826786,1.939504422419909,2.4257022877503056,2235,523,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,18,-5.729875852544808e-05,2.110529712011855,2.550083008279849,2207,551,1,Mean-only baseline.
whole_text_one_score,hist_gbr,18,0.04788746074499617,2.0566799733372645,2.488204195141648,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,18,0.04387736863888492,2.0595138084775657,2.4934385783886674,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,18,0.06081123576993941,2.05292916844708,2.4712593173515094,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,18,0.04597451848220113,2.017325391017453,2.490702535608627,2207,551,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,19,-0.03893133147036165,2.088827664195759,2.493933565104802,2214,544,1,Mean-only baseline.
whole_text_one_score,hist_gbr,19,-0.03135913609783114,2.0768430582617294,2.4848284936911,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,gbr,19,-0.029944195857320555,2.0690964143565522,2.483123418122646,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,extra_trees,19,-0.011375199791454627,2.0649401386309276,2.4606373306348734,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
whole_text_one_score,svr_rbf,19,0.026154065408271143,1.9761051657595474,2.4145521302518325,2214,544,1,"One cosine score after concatenating visual, texture, and flavor."
dummy_mean,dummy,20,-0.0035529628252914947,2.052984579162753,2.4943371185736987,2259,499,1,Mean-only baseline.
