feature_set,model,split,r2,mae,rmse,n_train,n_test,pca_components,description
modality_cosines,svr_rbf,0,0.13810068997214375,1.6631503908206942,2.1164968481362285,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,ridge,1,-0.059412846033222166,1.9307345245573597,2.2607442742963673,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,hist_gbr,1,-0.1316978580217345,1.88678510535334,2.3365983688399825,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,gbr,1,-0.02094319458510774,1.8117269820328632,2.2193183881350853,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,extra_trees,1,-0.014210808299619737,1.861570990590829,2.2119888804276773,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,svr_rbf,1,-0.043260360774399764,1.787211552671468,2.243443701150498,186,54,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,ridge,2,0.03549538007991848,1.7491664042161892,2.15650070627439,199,41,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,hist_gbr,2,-0.10610778089541317,1.746640651283465,2.3093841047735313,199,41,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,gbr,2,-0.10530775283821625,1.68418141068629,2.3085487855078837,199,41,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,extra_trees,2,0.18904476348356236,1.5711938696947076,1.9774061923814383,199,41,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines,svr_rbf,2,0.24673352998970943,1.4653221909178007,1.9057756193558029,199,41,0,"Whole cosine, three modality cosines, and text-length controls."
modality_cosines_plus_diff,ridge,0,0.38740719522055655,1.3907462736455598,1.7843305256118156,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,hist_gbr,0,0.04222339350292703,1.748765749714112,2.2311125143518975,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,gbr,0,0.14431955113462913,1.6502854686247093,2.1088474462629088,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,extra_trees,0,0.2647449881350008,1.5417454918112439,1.9548271236070645,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,svr_rbf,0,0.3269778035811123,1.4607387332302622,1.870268904881351,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,ridge,1,0.5376508365195348,1.1782551644735884,1.4934953003762605,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,hist_gbr,1,0.48153491384887337,1.2752698346886884,1.5815341724535257,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,gbr,1,0.36233397786361654,1.4277143692028451,1.7539429391558208,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,extra_trees,1,0.31818617058569965,1.5303771002116089,1.8136426708055862,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,svr_rbf,1,0.3933360292314678,1.3278705314109114,1.7107751131911793,186,54,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,ridge,2,0.5839390008307741,1.0981407479634924,1.4163674986325379,199,41,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,hist_gbr,2,0.16669957992819673,1.5096373889039987,2.0044639456092237,199,41,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,gbr,2,0.3630054709699221,1.2905471811510585,1.752529349332336,199,41,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,extra_trees,2,0.4465891317058195,1.267072319558159,1.6335080932805779,199,41,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_diff,svr_rbf,2,0.4365366247458572,1.2909687172902962,1.6482773654337952,199,41,12,Modality cosines plus PCA of modality-specific vector differences.
modality_cosines_plus_absdiff,ridge,0,0.2713807846852364,1.604654150601391,1.9459858128163532,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,hist_gbr,0,-0.45829194126401185,2.2712475296208874,2.7530341425324516,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,gbr,0,-0.15135689435836985,1.9860192067360443,2.4462134092021657,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,extra_trees,0,0.012958137890931698,1.8046902941249958,2.264942315263755,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,svr_rbf,0,0.12709035837955862,1.695635912503637,2.129972541489816,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,ridge,1,0.1346649398919355,1.7160939179417152,2.0432004344060926,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,hist_gbr,1,-0.00902569877951609,1.8947095844434823,2.2063272855643277,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,gbr,1,0.11075537817877246,1.8415240778600985,2.0712353319318484,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,extra_trees,1,0.03339451255752879,1.872717035765197,2.1594514795721422,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,svr_rbf,1,0.041568355756818054,1.769172808265512,2.1503016806514057,186,54,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,ridge,2,0.062810992396798,1.7060685038883876,2.1257443901034634,199,41,12,Modality cosines plus PCA of absolute modality differences.
modality_cosines_plus_absdiff,hist_gbr,2,0.052947486159561574,1.6435967035076062,2.13690137838805,199,41,12,Modality cosines plus PCA of absolute modality differences.
