model,score_test,score_val,eval_metric,pred_time_test,pred_time_val,fit_time,pred_time_test_marginal,pred_time_val_marginal,fit_time_marginal,stack_level,can_infer,fit_order
WeightedEnsemble_L2,-2.299595497637664,-2.4126346403113144,root_mean_squared_error,0.06159615516662598,0.032807111740112305,0.5315139293670654,0.0063021183013916016,0.00010514259338378906,0.0012340545654296875,2,True,3
ExtraTreesMSE,-2.3037205372141285,-2.414563315132305,root_mean_squared_error,0.031314849853515625,0.016338825225830078,0.13944482803344727,0.031314849853515625,0.016338825225830078,0.13944482803344727,1,True,2
RandomForestMSE,-2.305743651057982,-2.426778134819835,root_mean_squared_error,0.02397918701171875,0.016363143920898438,0.3908350467681885,0.02397918701171875,0.016363143920898438,0.3908350467681885,1,True,1
